GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700001001000,G36004700001001005,1.0,1.0
G36004700001001001,G36004700001001000,1.0,1.0
G36004700001001002,G36004700001001001,1.0,1.0
G36004700001001003,G36004700001001002,1.0,1.0
G36004700001001004,G36004700001001007,1.0,1.0
G36004700001001005,G36004700001001006,1.0,1.0
G36004700001001006,G36004700001001002,1.0,1.0
G36004700001001007,G36004700001001002,1.0,1.0
G36004700001001008,G36004700001001004,1.0,1.0
G36004700001001009,G36004700001001002,1.0,1.0
G36004700001001010,G36004700001001004,0.036383327975,0.179735830129
G36004700001001010,G36004700001001011,0.963616672025,0.820264169871
G36004700001001011,G36004700001001003,1.0,1.0
G36004700001001012,G36004700001001009,1.0,1.0
G36004700001001013,G36004700001001010,1.0,1.0
G36004700001001014,G36004700001001008,1.0,1.0
G36004700001002000,G36004700001002000,1.0,1.0
G36004700001002001,G36004700001002001,1.0,1.0
G36004700001002002,G36004700001002002,1.0,1.0
G36004700001002003,G36004700001002003,1.0,1.0
G36004700001003000,G36004700001003000,1.0,1.0
G36004700001003001,G36004700001003000,1.0,1.0
G36004700001003002,G36004700001003001,1.0,1.0
G36004700001003003,G36004700001003002,1.0,1.0
G36004700001003004,G36004700001003003,1.0,1.0
G36004700001003005,G36004700001003004,1.0,1.0
G36004700001003006,G36004700001003005,1.0,1.0
G36004700001004000,G36004700001004000,1.0,1.0
G36004700001004001,G36004700001004001,1.0,1.0
G36004700001004002,G36004700001004002,1.0,1.0
G36004700002001000,G36004700002001000,1.0,1.0
G36004700002001001,G36004700002001002,1.0,1.0
G36004700002001002,G36004700002001001,1.0,1.0
G36004700002001003,G36004700002001016,1.0,1.0
G36004700002001004,G36004700002001017,1.0,1.0
G36004700002001005,G36004700002001008,1.0,1.0
G36004700002001006,G36004700002001009,1.0,1.0
G36004700002001007,G36004700002001010,1.0,1.0
G36004700002001008,G36004700002001011,1.0,1.0
G36004700002001009,G36004700002001012,1.0,1.0
G36004700002001010,G36004700002001013,1.0,1.0
G36004700002001011,G36004700002001014,1.0,1.0
G36004700002001012,G36004700002001015,1.0,1.0
G36004700002001013,G36004700002001007,1.0,1.0
G36004700002001014,G36004700002001007,1.0,1.0
G36004700002001015,G36004700002001005,0.52385612919,0.52385612919
G36004700002001015,G36004700002001006,0.47614387081,0.47614387081
G36004700002001016,G36004700002001005,0.587674573265,0.587674573265
G36004700002001016,G36004700002001006,0.412325426735,0.412325426735
G36004700002001017,G36004700002001003,0.0,0.438901642239
G36004700002001017,G36004700002001004,1.0,0.561098357761
G36004700002001018,G36004700002001018,0.472665699081,0.472665699081
G36004700002001018,G36004700002001019,0.527334300919,0.527334300919
G36004700002001019,G36004700002001018,0.502177068215,0.502177068215
G36004700002001019,G36004700002001019,0.497822931785,0.497822931785
G36004700003011000,G36004700003011000,1.0,1.0
G36004700003011001,G36004700003011001,1.0,1.0
G36004700003012000,G36004700003012000,1.0,1.0
G36004700003012001,G36004700003012001,1.0,1.0
G36004700003013000,G36004700003013000,1.0,1.0
G36004700003013001,G36004700003013001,1.0,1.0
G36004700003014000,G36004700003014000,1.0,1.0
