"blk_group10","blk_group20","weight"
"360470001001","360470001001",1
"360470001002","360470001002",1
"360470001003","360470001003",1
"360470001004","360470001004",1
"360470002001","360470002001",1
"360470003011","360470003011",1
"360470003012","360470003012",1
"360470003013","360470003013",1
"360470003014","360470003014",1
"360470003015","360470003015",1
"360470005011","360470005011",1
"360470005012","360470005012",1
"360470005013","360470005013",1
"360470005021","360470005021",1
"360470005022","360470005022",1
"360470007001","360470007001",1
"360470007002","360470007002",1
"360470007003","360470007003",1
"360470009001","360470009001",1
"360470009002","360470009002",1
"360470011001","360470011001",1
"360470013001","360470013001",1
"360470013002","360470013002",1
"360470015001","360470015011",1
"360470015001","360470015012",0
"360470015002","360470015012",1
"360470015003","360470015021",1
"360470018000","360470018010",NA
"360470018000","360470018020",NA
"360470018000","360470018030",NA
"360470018000","360470018040",NA
"360470018001","360470018011",0.00760095011876485
"360470018001","360470018012",0.992399049881235
"360470018001","360470018021",0
"360470018001","360470018031",0
"360470018001","360470018041",0
"360470020001","360470020001",1
"360470020002","360470020002",1
"360470021001","360470021001",1
"360470021002","360470021002",0.999999999999997
"360470021003","360470021003",1
"360470022001","360470022001",1
"360470022002","360470022002",0.998372143546738
"360470022002","360470074004",0.00162785645326242
"360470022003","360470022003",0.621730382293763
"360470022003","360470022004",0.378269617706237
"360470023001","360470023001",1
"360470023002","360470023002",1
"360470023003","360470023003",1
"360470029011","360470029011",1
"360470029012","360470029012",1
"360470030001","360470030001",1
"360470030002","360470030002",1
"360470031001","360470031011",1
"360470031002","360470031012",1
"360470031003","360470031013",1
"360470031003","360470031021",0
"360470033001","360470033001",1
"360470033002","360470033002",1
"360470034000","360470034000",NA
"360470034001","360470034001",1
"360470034002","360470034002",1
"360470034003","360470034003",1
"360470035001","360470035001",1
"360470035002","360470035002",1
"360470036001","360470036001",1
"360470036002","360470036002",1
"360470036003","360470036003",1
"360470037001","360470037001",1
"360470038000","360470038000",NA
"360470038001","360470038001",1
"360470039001","360470039001",1
"360470039002","360470039002",1
"360470039003","360470039003",1
"360470041001","360470041001",1
"360470041002","360470041002",1
"360470041003","360470041003",1
"360470043001","360470043001",1
"360470043002","360470043002",1
"360470043003","360470043003",1
"360470043004","360470043004",1
"360470044000","360470044000",NA
"360470044001","360470044001",1
"360470044002","360470044002",1
"360470045001","360470045001",1
"360470045002","360470045002",1
"360470045003","360470045003",1
"360470045004","360470045004",1
"360470046000","360470046000",NA
"360470046001","360470046001",1
"360470047001","360470047001",1
"360470049001","360470049001",1
"360470049002","360470049002",1
"360470049003","360470049003",1
"360470050000","360470050000",NA
"360470050001","360470050001",1
"360470050002","360470050002",1
"360470050003","360470050003",1
"360470051001","360470051001",1
"360470051002","360470051002",1
"360470051003","360470051003",1
"360470052010","360470052010",NA
"360470052011","360470052011",1
"360470052020","360470052020",NA
"360470052021","360470052021",1
"360470052022","360470052022",1
"360470053000","360470053010",NA
"360470053000","360470053020",NA
"360470053001","360470053011",0.488970588235294
"360470053001","360470053012",0.441176470588235
"360470053001","360470053021",0.0698529411764706
"360470053001","360470053022",0
"360470053001","360470053031",0
"360470053002","360470053011",1
"360470053003","360470053011",0.573055028462998
"360470053003","360470053012",0.426944971537002
"360470053004","360470053012",1
"360470053004","360470053023",0
"360470054000","360470054000",NA
"360470054001","360470054001",1
"360470054002","360470054002",1
"360470054003","360470054003",1
"360470056010","360470056010",NA
"360470056011","360470056011",1
"360470056012","360470056012",1
"360470056020","360470056020",NA
"360470056021","360470056021",1
"360470058001","360470058001",1
"360470058002","360470058002",1
"360470058003","360470058003",1
"360470059001","360470059001",1
"360470059002","360470051003",0
"360470059002","360470059002",1
"360470060001","360470060001",1
"360470060002","360470060002",1
"360470060003","360470060003",1
"360470062001","360470062001",1
"360470062002","360470062002",1
"360470062003","360470062003",1
"360470063001","360470063001",1
"360470063002","360470063002",1
"360470064001","360470064001",1
"360470064002","360470064002",1
"360470064003","360470064003",1
"360470065001","360470065001",1
"360470065002","360470065002",1
"360470065003","360470065003",1
"360470065004","360470065004",1
"360470065005","360470065005",1
"360470065006","360470065006",1
"360470065007","360470065007",1
"360470066001","360470066001",1
"360470066002","360470066002",1
"360470066003","360470066003",1
"360470067001","360470067001",1
"360470067002","360470067002",1
"360470067003","360470067003",1
"360470067004","360470067004",1
"360470067005","360470067005",1
"360470068001","360470068001",1
"360470068002","360470068002",1
"360470068003","360470068003",1
"360470068004","360470068004",1
"360470069001","360470069011",1
"360470069002","360470069021",1
"360470069003","360470069022",1
"360470069004","360470069012",1
"360470070001","360470070001",0.99999999999997
"360470070002","360470070002",1
"360470071001","360470071001",1
"360470071002","360470071001",0.60806916426513
"360470071002","360470071002",0.39193083573487
"360470071003","360470071002",1
"360470071004","360470071003",1
"360470072001","360470072001",1
"360470074001","360470074001",1
"360470074002","360470074002",1
"360470074003","360470074003",1
"360470074004","360470074004",1
"360470075001","360470075001",1
"360470075002","360470075002",1
"360470075003","360470075003",1
"360470075004","360470075004",1
"360470075005","360470075005",1
"360470076001","360470076001",1
"360470076002","360470076002",1
"360470076003","360470076003",1
"360470077001","360470077001",1
"360470077002","360470077002",1
"360470077003","360470053021",0
"360470077003","360470077003",1
"360470077004","360470077004",1
"360470078001","360470078001",1
"360470078002","360470078002",1
"360470078003","360470078003",1
"360470078004","360470078004",1
"360470080001","360470080001",1
"360470080002","360470080002",1
"360470080003","360470080003",1
"360470082001","360470082001",1
"360470082002","360470082002",1
"360470082003","360470082003",1
"360470084001","360470084001",1
"360470084002","360470084002",1
"360470084003","360470084003",1
"360470085001","360470085001",1
"360470085002","360470085002",1
"360470085003","360470085003",1
"360470086001","360470086001",NA
"360470088001","360470088001",1
"360470088002","360470088002",1
"360470090001","360470090011",1
"360470090002","360470090021",1
