"GEOID","pop_asian_2010","pop_asian_2020"
"360470001001",36,74
"360470001002",52,61
"360470001003",159,177
"360470001004",83,141
"360470002001",49,56
"360470003011",43,30
"360470003012",92,67
"360470003013",51,56
"360470003014",40,35
"360470003015",15,23
"360470005011",230,186
"360470005012",151,186
"360470005013",51,62
"360470005021",94,112
"360470005022",92,91
"360470007001",75,216
"360470007002",30,46
"360470007003",93,117
"360470009001",386,418
"360470009002",253,204
"360470011001",10,376
"360470013001",201,571
"360470013002",48,0
"360470015011",113,802
"360470015012",135,544
"360470015021",158,1812
"360470018010",0,0
"360470018011",0.25083135391924,0
"360470018012",32.7491686460808,21
"360470018020",0,0
"360470018021",0,1
"360470018030",0,0
"360470018031",0,4
"360470018040",0,0
"360470018041",0,0
"360470020001",27,58
"360470020002",50,44
"360470021001",107,183
"360470021002",168.999999999999,233
"360470021003",67,225
"360470022001",45,171
"360470022002",163.733031541665,199
"360470022003",205.792756539235,236
"360470022004",125.207243460765,84
"360470023001",468,427
"360470023002",108,158
"360470023003",85,105
"360470029011",237,541
"360470029012",58,52
"360470030001",98,128
"360470030002",159,212
"360470031011",283,701
"360470031012",81,37
"360470031013",57,7
"360470031021",0,0
"360470033001",67,74
"360470033002",142,628
"360470034000",0,0
"360470034001",137,177
"360470034002",216,302
"360470034003",167,181
"360470035001",80,229
"360470035002",33,33
"360470036001",288,303
"360470036002",267,256
"360470036003",87,100
"360470037001",55,1089
"360470038000",0,0
"360470038001",159,206
"360470039001",134,132
"360470039002",41,75
"360470039003",58,70
"360470041001",107,173
"360470041002",70,89
"360470041003",47,59
"360470043001",0,0
"360470043002",104,207
"360470043003",71,102
"360470043004",82,117
"360470044000",0,0
"360470044001",85,127
"360470044002",55,94
"360470045001",72,108
"360470045002",40,52
"360470045003",42,54
"360470045004",35,54
"360470046000",0,0
"360470046001",78,100
"360470047001",93,124
"360470049001",69,58
"360470049002",58,45
"360470049003",56,66
"360470050000",0,0
"360470050001",30,33
"360470050002",63,91
"360470050003",32,93
"360470051001",49,69
"360470051002",66,80
"360470051003",44,55
"360470052010",0,0
"360470052011",158,333
"360470052020",0,0
"360470052021",45,75
"360470052022",76,122
"360470053010",0,0
"360470053011",34.4562381404175,66
"360470053012",13.1944971537002,54
"360470053020",0,0
"360470053021",0.349264705882353,0
"360470053022",0,1
"360470053023",0,13
"360470053031",0,0
"360470054000",0,0
"360470054001",61,109
"360470054002",54,68
"360470054003",225,177
"360470056010",0,0
"360470056011",45,79
"360470056012",95,157
"360470056020",0,0
"360470056021",124,171
"360470058001",88,114
"360470058002",173,198
"360470058003",41,73
"360470059001",15,25
"360470059002",21,24
"360470060001",120,146
"360470060002",153,159
