"GEOID","hhlang_total","hhlang_asian","income","graduates_total","graduates_no_hs","graduates_hs_grad","graduates_ba_above","families_total","families_benefits","asiaentry_total","asiaentry_2010_later","asiaentry_2000_2009","asiaentry_1990_1999","asiaentry_1990_earlier","workers_total","workers_drove","workers_publictransport","cvap10_asian","cvap10_black","cvap10_hispanic","cvap10_total","cvap10_white","cvap19_asian","cvap19_black","cvap19_hispanic","cvap19_total","cvap19_white","pop10_asian","pop10_black","pop10_hispanic","pop10_total","pop10_white","pop20_asian","pop20_black","pop20_hispanic","pop20_total","pop20_white","vap10_asian","vap10_black","vap10_hispanic","vap10_total","vap10_white","vap20_asian","vap20_black","vap20_hispanic","vap20_total","vap20_white"
"360050001000",0,0,NA,0,0,0,0,0,0,152,7,21,35,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360050001001",0,0,NA,0,0,0,0,0,0,152,7,21,35,89,0,0,0,125,5715,3145,9775,715,50,3410,1875,5890,500,180,6515,3779,11091,1724,64,2350,1259,3772,637,164,6258,3679,11091,1694,63,2350,1253,3760,637
"360050002000",0,0,NA,0,0,0,0,0,0,57,0,26,23,8,1547,771,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360050002001",460,0,41968,1121,274,534,313,328,130,57,0,26,23,8,1547,771,662,0,95,310,420,15,0,225,880,1115,10,21,286,803,1120,424,23,340,950,1330,129,19,198,586,1120,329,21,245,760,1045,115
"360050002002",477,0,48523,913,222,414,277,364,96,57,0,26,23,8,1547,771,662,0,360,905,1280,15,0,110,665,845,70,55,677,1332,1974,532,86,564,1330,2057,164,32,478,922,1974,401,68,457,1030,1609,129
"360050002003",405,0,68060,892,123,496,273,271,10,57,0,26,23,8,1547,771,662,145,70,825,1045,0,50,140,640,840,10,64,301,858,1240,376,97,296,893,1392,149,49,223,642,1240,299,80,225,696,1060,110
"360050004000",0,0,NA,0,0,0,0,0,0,83,0,0,23,60,2827,1464,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360050004001",262,3,NA,372,65,230,77,151,25,83,0,0,23,60,2827,1464,1236,15,95,290,425,0,4,20,405,500,70,21,255,704,966,276,52,200,761,1047,110,13,168,483,966,210,33,142,582,804,79
"360050004002",335,0,60958,599,131,351,117,218,54,83,0,0,23,60,2827,1464,1236,10,135,735,935,15,0,45,420,600,115,39,313,1069,1434,451,74,265,1045,1433,178,26,234,734,1434,332,58,201,793,1093,149
"360050004003",1182,0,80185,2289,215,1383,691,833,115,83,0,0,23,60,2827,1464,1236,0,600,1080,1775,75,75,770,1480,2445,105,50,962,1517,2451,632,81,1189,1736,3095,336,39,716,1143,2451,491,71,938,1379,2469,268
