"GEOID","pop_2010_asian","pop_2010_total","pop_2020_asian","pop_2020_total"
"360470001001",36,580,74,904
"360470001002",52,939,61,704
"360470001003",159,1355,177,1488
"360470001004",83,1464,141,1520
"360470002001",49,1470,56,1205
"360470003011",43,845,30,887
"360470003012",92,1302,67,847
"360470003013",51,889,56,857
"360470003014",40,744,35,755
"360470003015",15,479,23,504
"360470005011",230,2417,186,2549
"360470005012",151,1036,186,1051
"360470005013",51,794,62,804
"360470005021",94,1384,112,1415
"360470005022",92,1128,91,1225
"360470007001",75,1144,216,2187
"360470007002",30,977,46,921
"360470007003",93,1238,117,1307
"360470009001",386,2383,418,3043
"360470009002",253,1789,204,2124
"360470011001",10,84,376,1578
"360470013001",201,1564,571,2465
"360470013002",48,711,0,0
"360470015011",113,900,802,2671
"360470015012",135,1494,544,2490
"360470015021",158,1127,1812,5801
"360470018010",0,0,0,0
"360470018011",0.25083135391924,16,0,1
"360470018012",32.7491686460808,2089,21,2562
"360470018020",0,0,0,0
"360470018021",0,0,1,6
"360470018030",0,0,0,0
"360470018031",0,0,4,16
"360470018040",0,0,0,0
"360470018041",0,0,0,0
"360470020001",27,724,58,805
"360470020002",50,948,44,889
"360470021001",107,1281,183,1981
"360470021002",168.999999999999,1528.99999999999,233,1829
"360470021003",67,794,225,2165
"360470022001",45,1337,171,1320
"360470022002",163.733031541665,1285.9033208882,199,1240
"360470022003",205.792756539235,1236,236,1307
"360470022004",125.207243460765,752,84,722
"360470023001",468,1555,427,1372
"360470023002",108,1549,158,1486
"360470023003",85,1143,105,1082
"360470029011",237,2196,541,2462
"360470029012",58,1022,52,687
"360470030001",98,819,128,889
"360470030002",159,911,212,922
"360470031011",283,1800,701,3116
"360470031012",81,589,37,247
"360470031013",57,83,7,32
"360470031021",0,0,0,0
"360470033001",67,828,74,837
"360470033002",142,1499,628,3970
"360470034000",0,0,0,0
"360470034001",137,780,177,933
"360470034002",216,1313,302,1433
"360470034003",167,954,181,1123
"360470035001",80,650,229,1432
"360470035002",33,904,33,970
"360470036001",288,1199,303,1208
"360470036002",267,1729,256,1833
"360470036003",87,876,100,918
"360470037001",55,390,1089,4565
"360470038000",0,0,0,0
"360470038001",159,1498,206,1529
"360470039001",134,1162,132,1198
"360470039002",41,608,75,772
"360470039003",58,459,70,674
"360470041001",107,1562,173,1453
"360470041002",70,1152,89,988
"360470041003",47,884,59,957
"360470043001",0,8,0,0
"360470043002",104,795,207,1219
"360470043003",71,918,102,935
"360470043004",82,1287,117,1656
"360470044000",0,0,0,0
"360470044001",85,1272,127,1346
"360470044002",55,1087,94,1102
"360470045001",72,1151,108,1193
"360470045002",40,741,52,765
"360470045003",42,735,54,696
"360470045004",35,698,54,822
"360470046000",0,0,0,0
"360470046001",78,1199,100,1154
"360470047001",93,1445,124,1951
"360470049001",69,922,58,829
"360470049002",58,720,45,741
"360470049003",56,874,66,842
"360470050000",0,0,0,0
"360470050001",30,624,33,711
"360470050002",63,849,91,945
"360470050003",32,803,93,879
"360470051001",49,544,69,719
"360470051002",66,892,80,1012
"360470051003",44,735,55,927
"360470052010",0,0,0,0
"360470052011",158,1829,333,1879
"360470052020",0,0,0,0
"360470052021",45,1094,75,1126
"360470052022",76,1387,122,1542
"360470053010",0,0,0,0
"360470053011",34.4562381404175,1204,66,1355
"360470053012",13.1944971537002,665,54,809
"360470053020",0,0,0,0
"360470053021",0.349264705882353,19,0,27
"360470053022",0,0,1,12
"360470053023",0,0,13,47
"360470053031",0,0,0,0
"360470054000",0,0,0,0
"360470054001",61,1460,109,1562
"360470054002",54,565,68,603
"360470054003",225,1114,177,1261
"360470056010",0,0,0,0
"360470056011",45,1140,79,1260
"360470056012",95,1365,157,1432
"360470056020",0,0,0,0
"360470056021",124,1586,171,1734
"360470058001",88,1022,114,1052
"360470058002",173,1510,198,1705
"360470058003",41,620,73,693
"360470059001",15,741,25,862
"360470059002",21,643,24,880
"360470060001",120,1193,146,1191
"360470060002",153,889,159,924
"360470060003",93,744,125,761
"360470062001",161,1125,171,1169
"360470062002",170,1185,163,1288
"360470062003",40,543,40,501
"360470063001",51,899,57,964
"360470063002",58,993,76,1043
"360470064001",74,1124,135,1181
"360470064002",126,1063,147,1057
"360470064003",150,1291,192,1385
"360470065001",22,721,60,813
"360470065002",29,710,38,740
"360470065003",11,681,16,752
"360470065004",25,652,34,668
"360470065005",23,635,39,627
"360470065006",64,1232,48,1267
"360470065007",24,560,53,594
"360470066001",160,1176,215,1296
"360470066002",59,969,74,993
"360470066003",172,1518,226,1685
"360470067001",31,651,44,664
"360470067002",30,575,54,831
"360470067003",26,638,41,662
"360470067004",20,767,37,742
"360470067005",18,670,39,719
"360470068001",377,1354,434,1534
"360470068002",215,1597,305,1890
"360470068003",50,635,44,731
"360470068004",216,1284,211,1336
"360470069011",50,782,51,729
"360470069012",53,867,54,902
"360470069021",65,1011,69,1089
"360470069022",70,877,64,873
"360470070001",154.999999999995,1248.99999999996,197,1327
"360470070002",233,1095,266,1127
"360470071001",32.850144092219,1042,63,1088
"360470071002",75.149855907781,1944,146,1878
"360470071003",91,1509,107,1396
"360470072001",528,1946,589,2082
"360470074001",387,1409,507,1635
"360470074002",690,1693,717,1796
"360470074003",120,888,144,821
"360470074004",142.266968458335,1463.0966791118,278,1577
"360470075001",42,890,71,1009
"360470075002",51,981,41,974
"360470075003",53,1054,71,1222
"360470075004",32,814,52,812
"360470075005",29,644,40,674
"360470076001",365,1590,571,1848
"360470076002",154,1058,261,1193
"360470076003",196,1764,271,1831
"360470077001",89,924,147,1926
"360470077002",77,881,69,1163
"360470077003",76,1211,126,1568
"360470077004",40,885,76,1033
"360470078001",87,1393,129,1356
"360470078002",112,1369,220,1547
"360470078003",191,1141,263,1232
"360470078004",113,1165,127,1198
"360470080001",128,1725,170,1644
"360470080002",110,1530,160,1294
"360470080003",91,914,178,1086
"360470082001",139,1483,105,1377
"360470082002",219,1570,310,1633
"360470082003",33,1088,37,998
"360470084001",44,1091,60,1071
"360470084002",87,1248,106,1193
"360470084003",87,960,61,1047
"360470085001",46,2605,85,2513
"360470085002",33,1928,111,1819
"360470085003",53,2423,188,2341
"360470086001",0,0,0,0
"360470088001",126,2011,158,1885
"360470088002",160,1196,376,1373
"360470090011",586,1577,641,1886
"360470090021",726,1417,609,1391
"360470092011",331.107837360047,698,255,674
"360470092012",475.124252988492,1203,818,1413
"360470092021",981.053798472475,2426,1054,2348
"360470092022",464.714111178986,1061,473,1076
"360470094011",845,1587,974,1577
"360470094012",1068.37516059957,1464,1272,1550
"360470094021",566.980350504514,1181,935,1338
"360470094022",972.644488895914,1573,1047,1830
"360470096001",500,1499,681,1681
"360470096002",672,1737,882,1811
"360470096003",293,1305,329,1366
"360470096004",159,1585,231,1604
"360470098001",521,2115,756,2077
"360470098002",661,1771,770,1914
"360470098003",1081,1537,1430,1899
"360470098004",611,1601,708,1550
"360470100001",989,1583,1226,1842
"360470100002",1249,1761,1539,2028
"360470100003",857,1814,1253,2158
"360470100004",438,1579,685,1713
"360470101001",86,1386,106,1415
"360470101002",69,1606,73,1749
"360470101003",60,1101,123,1426
"360470102001",1810,2472,2338,2879
"360470102002",908,1320,1162,1607
"360470102003",856,1830,1210,2092
"360470104011",1194.90526315789,1357,1201,1384
"360470104012",1356.26140350877,1729,1405,1631
"360470104021",979.745782033744,1247,1155,1396
"360470104022",1381.08755129959,1575,1292,1569
"360470106011",1260,1663,1253,1583
"360470106012",1345.06097560976,1596,1148,1454
"360470106021",1194.92845356572,1430,1310,1391
"360470106022",963.010570824524,1162,1255,1429
"360470108011",820.13288590604,1117,977,1210
"360470108012",1259.12471757795,1507,1404,1666
"360470108021",1041.86323422928,1485,1324,1650
"360470108022",736.879162286731,1171,806,1190
"360470110001",290,1078,279,1175
"360470110002",484,1363,517,1534
"360470112001",627,2225,620,2479
"360470112002",174,1001,324,1013
"360470112003",154,1438,337,1411
"360470112004",485,1772,687,1733
"360470114001",150,1473,363,1644
"360470114002",288,1325,400,1458
"360470114003",373,1178,350,1048
