temp,temp_past,tree,income,builtfar
86.227,78.956,0.019,68286,0.73
87.382,81.124,0,92045,0.59
87.646,80.444,0.007,57596,0.6
81.639,80.602,0,102031,
80.142,82.114,0,86150,1.23
81.434,81.157,0,152632,0.83
81.132,81.427,0,76923,2.77
82.228,82.09,0,101146,1.06
84.277,81.886,0,90469,1.48
80.55,83.443,0,74688,1.84
82.653,76.784,0.158,94875,0.38
84.73,79.435,0.007,75227,0.375
83.021,78.696,0.041,75227,0.365
82.868,76.44,0.198,66250,0.49
84.353,76.833,0.033,80250,0.455
81.951,83.116,,111414,
84.166,81.905,,151705,
82.345,84.882,,145526,
83.223,83.041,,130610,
85.46,84.027,0,62083,1
89.837,87.505,0,62083,1
81.446,81.236,0,96417,0.92
84.57,81.268,0,102031,
86.328,81.109,0,81550,0.89
86.581,83.457,0,94539,1.4
84.582,80.986,0,113487,0.73
86.069,82.036,0,73167,0.7
84.389,82.664,0,74012,0.96
85.017,80.814,0.022,75714,0.67
85.455,81.494,0,69167,0.67
86.066,81.997,0,53665,0.71
84.614,83.695,0,66731,1.03
85.286,81.161,0,66731,0.62
86.442,82.055,0,53750,0.77
78.711,81.953,0,93631,2.16
84.442,83.823,0,94219,1.01
84.621,81.157,0,115547,0.99
82.67,80.98,0,102031,
84.049,79.1,0.003,130234,
82.206,74.304,0.252,82563,0.38
82.064,77.172,0.027,130234,0.7
86.272,80.196,0,45573,0.63
86.012,78.321,0.041,74631,0.475
82.857,83.787,0,83229,1
82.302,82.744,0,100840,2.925
80.588,80.457,0,92614,0.83
80.081,80.268,0.002,107417,1.06
82.716,81.587,0,154458,1.29
83.679,83.971,0,98553,1.795
78.932,79.861,0,85938,1.24
88.275,80.564,0,54688,0.655
81.68,81.321,0,76923,1.2
83.344,81.376,0,110096,0.97
85.424,81.597,0.008,99688,0.7
85.663,81.614,0,81550,0.89
83.957,82.235,,64811,
82.803,79.559,0.008,70710,0.69
85.659,79.055,0.052,85714,0.25
91.636,85.813,0,40469,0.935
85.588,79.457,,110280,
86.573,79.86,0.054,81743,0.39
86.954,80.056,0.008,68750,0.35
82.383,76.765,0.002,64712,2.89
86.047,78.553,0.044,113661,0.31
87.62,80.534,0,102768,0.6
83.953,82.047,0,64263,1.16
87.695,85.745,0.001,70852,0.99
83.77,81.8,0,45721,0.94
81.228,79.404,0,68646,2.88
85.533,79.287,0.025,50921,0.58
84.788,77.537,0.061,46500,0.45
84.091,78.22,0.071,92132,0.47
85.51,78.388,0.04,92361,0.56
85.85,78.982,0.033,92361,0.47
86.369,78.95,0,45729,0.66
82.522,77.366,0.074,86464,0.63
84.52,79.328,0.016,67500,0.86
84.439,79.536,,67500,
84.338,78.757,0.097,146125,0.29
84.773,80.213,0.032,73882,0.98
87.696,80.775,0.026,101174,0.605
86.86,78.922,0.026,101174,0.33
86.83,79.614,0.038,105833,0.535
86.527,79.662,0.037,53421,0.45
85.81,78.278,0.042,108250,0.23
84.798,79.607,0.021,90242,0.57
83.862,78.148,0,90242,0.785
85.703,81.137,0.002,51441,0.71
85.684,80.329,0.007,65655,0.38
85.19,80.894,0.013,106538,0.52
83.745,79,0.021,70846,0.39
84.611,79.317,0.032,71468,0.475
83.863,78.75,0.008,69432,1.09
84.325,80.082,0.049,99485,0.675
83.371,78.495,0.021,89153,0.44
83.326,78.175,0.037,80313,0.43
78.038,73.053,0.382,149809,0.27
77.682,73.584,0.149,149809,0.26
79.139,73.327,0.286,168594,0.25
81.468,75.161,0.229,114643,0.255
77.995,75.932,0.005,70044,0.75
84.322,78.84,0.022,85203,0.36
83.175,77.449,0.036,110781,0.32
84.193,78.259,0.001,71468,
86.636,80.994,0,70846,
82.708,81.519,0,62083,2.67
87.596,83.353,0,73438,0
85.106,81.761,0.022,70852,1.14
83.533,80.004,,50858,
85.317,82.545,0.001,56023,0.67
84.795,81.477,0,56023,0.825
82.917,80.644,,56929,
87.635,82.18,0,101250,0.93
86.79,81.773,,108672,
89.15,84.015,0,65714,0.72
88.57,82.463,0,51650,0.975
88.221,81.554,0,51650,1.04
85.677,79.804,0,71833,
83.272,81.405,,63167,
85.721,80.462,,87841,
81.982,77.208,0.046,83250,0.25
85.222,80.661,0,67126,0.55
82.28,77.003,,145536,
83.198,77.789,0.086,110160,0.28
81.986,75.384,0.206,102031,0.43
85.091,79.367,0.001,73026,0.63
86.205,81.182,0,93264,0.66
87.596,86.066,0,91207,1.04
87.395,84.385,0,31293,0.95
89.78,85.422,0,69662,0.135
85.675,83.418,0,73750,1.13
89.552,82.438,0,70710,
83.567,81.177,0.014,89167,0.68
85.512,84.121,0,96708,1
87.306,83.003,0,105921,0.62
86.661,80.078,0,63250,0.59
86.321,80.971,0,74460,0.745
83.196,77.699,,83393,
84.631,83.27,0,70417,1.39
85.979,83.429,0,64814,
85.511,78.033,0.055,60323,0.56
84.817,79.724,0.012,73026,0.22
84.214,77.284,0.179,80250,0.46
84.894,78.654,0,56875,
83.138,79.387,,94770,
84.583,79.854,0.044,78529,0.72
86.328,80.533,0,64922,0.75
83.735,76.176,0.153,130179,0.58
80.134,81.485,0,82313,1.37
81.503,80.298,0,109609,0.96
81.6,83.466,0,77361,1.62
80.988,80.858,0,90469,1.37
82.085,83.849,0,74688,1.7
82.281,77.257,0.103,83250,0.4
83.816,80.111,0,101146,
83.162,79.494,,50858,
83.375,79.864,,50858,
82.734,79.682,0.007,60000,0.6
82.852,80.033,0.019,98906,0.77
80.7,79.326,0,60000,0.495
81.142,78.96,,60000,
81.093,78.894,0.01,60000,0.59
82.556,79.394,0,98906,
87.85,84.64,0.034,92941,0.68
83.651,80.918,,64811,
84.366,78.62,,64750,
85.558,80.063,0,56944,
85.461,79.966,0.002,56944,0.87
85.972,80.536,0,76648,
85.524,78.923,0.068,45068,
85.657,80.226,0,41563,
84.364,82.276,0,73438,2.57
83.905,82.149,0,98869,1.21
84.164,82.078,0,98869,1
84.555,82.182,0.003,98869,0.94
84.586,82.368,0,64263,2.665
84.439,81.364,,64263,
85.033,81.608,,56285,
85.316,81.844,0,56285,1.135
84.222,81.785,0,56285,1.54
83.508,80.619,,77368,
84.288,81.296,,64750,
86.886,82.479,0.024,52171,0.76
84.811,82.081,,52171,
84.206,80.718,0,52171,1.29
85.929,81.917,0.013,49792,0.65
85.898,83.299,0,66744,0.05
85.648,83.367,0.006,66744,1.31
86.564,83.559,0.043,66744,1
86.258,82.82,0.01,66744,0.21
86.779,83.131,0.02,66744,1.86
87.856,83.448,0,63750,0.82
88.194,83.923,0,76845,0.905
88.916,84.24,0,76845,0.5
88.221,84.822,0,76845,1.325
83.762,82.36,0,59601,0.98
84.1,82.561,0,59601,1.4
88.608,83.333,,59601,
92.523,82.597,0,78589,1.65
84.55,79.802,0,114044,0.94
84.214,79.217,0,93036,
84.23,79.409,0.005,93036,
80.114,76.969,0.008,82280,
83.3,77.593,0.076,110160,
82.196,77.151,,145536,
75.26,72.592,0.048,94911,
83.047,78.074,0.01,109464,0.56
86.061,83.331,,70152,
88.401,82.991,0,87941,0.815
86.871,82.178,0,52173,0.86
87.913,82.78,0,86544,
88.273,80.301,0,57115,0.63
87.058,79.001,0,60227,0.72
87.173,78.262,0.001,70833,0.97
86.863,78.549,0.002,60227,1.07
86.89,78.005,0.007,115385,0.52
88.381,79.554,0,70833,0.75
87.658,78.053,0,115385,0.57
87.734,79.697,0,91458,0.93
87.847,77.92,0.003,115385,0.62
87.685,79.927,0,91458,0.94
88.225,80.426,0.002,69574,0.68
88.517,80.253,0,69574,0.625
88.465,79.695,0,91458,0.61
88.901,79.856,0,91458,0.6
88.691,80.29,0,91458,0.82
88.969,80.02,0,69574,0.59
89.37,83.74,0,87941,1
87.827,78.609,0,115385,0.64
88.122,81.421,0,50368,0.82
88.103,79.756,0,87941,3
87.471,78.944,0,65938,0.61
87.435,78.631,0,65938,0.71
88.444,80.492,0,91458,0.71
88.776,80.268,0,69574,0.655
88.133,80.578,0,78667,0.69
87.185,81.307,0,57115,0.63
87.175,81.17,0,57115,0.755
87.499,80.619,0,78667,0.54
88.12,80.773,0,60227,0.5
88.252,80.882,0.007,60227,0.53
87.638,79.716,0,65938,0.52
89.296,80.957,0,74722,0.51
88.084,81.079,0,74722,0.63
